epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.3258,2.22105,5.99697,1.45632,0.00011,0.02444,7e-05,1e-05,1.78609,5.62366,1.21263,0.00013328,0.00013328,0.00013328
2,175.449,1.88575,4.98375,1.20334,0.00071,0.15397,0.02134,0.00843,1.60846,5.27048,1.13903,0.000269447,0.000269447,0.000269447
3,257.287,1.8142,4.07721,1.21326,0.00119,0.19432,0.05294,0.02971,1.60337,4.92693,1.1597,0.000400007,0.000400007,0.000400007
4,334.682,1.77498,3.56006,1.22899,0.00293,0.63743,0.15331,0.08344,1.58648,4.42526,1.17796,0.000524958,0.000524958,0.000524958
5,411.146,1.68775,3.26346,1.20141,1,0.01519,0.32578,0.18195,1.59965,4.13531,1.16798,0.000644302,0.000644302,0.000644302
6,487.652,1.68212,2.95367,1.22405,0.93899,0.12836,0.40507,0.2367,1.55774,3.88669,1.16061,0.000750533,0.000750533,0.000750533
1,10.338,2.2523,6.15001,1.52545,0,0,0,0,1.74327,4.37144,1.2781,0.00013328,0.00013328,0.00013328
2,16.3536,1.9182,5.04311,1.26407,0.00048,0.08558,0.00393,0.00103,1.61056,4.25372,1.18276,0.000269447,0.000269447,0.000269447
3,22.4854,1.81616,4.18085,1.2018,0.00072,0.13804,0.04284,0.02209,1.54953,4.03606,1.17963,0.000400007,0.000400007,0.000400007
4,27.9526,1.75907,3.54629,1.20657,0.00158,0.35196,0.11915,0.05364,1.61134,3.8164,1.2405,0.000524958,0.000524958,0.000524958
5,31.8694,1.64279,3.14516,1.19097,0.82693,0.09524,0.3177,0.1754,1.55098,3.18833,1.18055,0.000644302,0.000644302,0.000644302
6,35.597,1.74533,3.13663,1.25607,1,0.02551,0.35071,0.18214,1.61643,3.28711,1.20492,0.000750533,0.000750533,0.000750533
